billy	315 60
dance	180 147
dancing	69 55
stays	29 13
gumption	1 0
sally	21 28
anne	75 73
dinah	1 2
returns	14 71
doll	46 13
butmammy	1 0
nicest	7 0
present	129 356
indeed	78 57
thoughtful	8 4
low	72 248
britches	1 0
cary	41 6
fort	26 201
sumter	1 2
fired	64 63
war	288 1108
declared	13 119
armory	3 6
immediately	87 147
horse	215 119
sidearms	1 0
richmond	7 53
graves	28 14
report	155 210
city	320 1578
nightfall	9 3
valley	44 210
hurrah	6 0
reckon	48 0
soldiers	79 130
mobilizing	3 2
carriages	2 10
quickly	98 147
jimmy	68 45
mammies	1 0
em	439 18
battles	8 34
guns	85 193
truly	61 32
gentleman	75 7
north	111 1145
slaves	25 61
soldier	45 63
army	127 564
halt	26 13
march	65 1012
yankees	21 29
starts	57 94
liable	6 7
budge	3 1
speck	5 0
powerful	78 123
whenever	64 23
whether	113 171
winter	39 127
summer	82 372
shivering	3 3
sweatin	1 0
troops	22 201
startin	3 0
truthful	8 0
taught	92 99
confederate	14 29
rebel	27 33
spunk	2 0
nevertheless	7 46
manners	23 7
slingshot	4 1
dixie	10 7
hooray	4 0
dixieland	2 2
south	119 1363
enemy	71 80
territory	27 138
captured	16 114
lines	68 165
dangerous	130 51
special	191 379
prayer	26 33
yesterday	157 8
started	320 416
daytime	2 15
prayed	22 4
twice	88 98
today	633 342
tears	34 33
joy	164 20
southerners	2 2
raindrops	2 0
sunshiny	1 0
aww	12 0
ohh	81 0
rosabelle	16 0
practice	92 241
towel	15 2
massa	24 24
thunk	1 0
polish	14 168
winning	39 214
mm	106 114
share	81 87
twilight	11 32
sing	163 43
pretend	59 4
humming	10 2
aw	70 5
fill	64 40
saddlebags	2 0
oats	3 0
stables	13 10
faster	83 41
coast	50 259
sheridan	1 11
camping	22 17
general	136 771
lee	64 297
scouting	2 12
expeditions	1 14
spy	28 12
dispatches	2 0
yankee	30 6
uniform	28 43
prisoner	36 54
trade	59 176
nearly	69 184
stock	36 73
stolen	51 50
saved	106 52
knowing	63 27
pushed	30 24
wonder	176 33
lazy	18 3
jackass	7 2
stable	36 50
comin	59 2
smile	103 11
fat	106 41
river	93 815
mill	23 107
hide	117 18
woods	51 50
seth	3 14
turning	70 46
main	65 619
corn	20 53
barn	20 31
missa	9 0
ascared	1 0
somethin	75 0
fightin	4 1
southern	16 416
aahh	1 0
